Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
25,England,Adil Rashid,4.4,0,39,8.35,9,1,3,0,0
25,England,Mark Wood,4.0,0,23,5.75,12,3,0,0,0
25,England,Liam Livingstone,3.0,0,17,5.66,8,2,0,0,0
25,England,Moeen Ali,3.0,0,21,7.0,5,2,0,0,0
26,South Africa,Marco Jansen,9.0,1,43,4.77,40,5,0,6,2
26,South Africa,Lungi Ngidi,7.4,0,45,5.86,26,6,0,3,0
26,South Africa,Aiden Markram,4.0,0,20,5.0,12,2,0,0,0
26,South Africa,Keshav Maharaj,9.0,0,56,6.22,30,4,4,0,0
26,South Africa,Gerald Coetzee,7.0,0,42,6.0,20,4,1,1,0
26,South Africa,Tabraiz Shamsi,10.0,0,60,6.0,28,2,3,1,2
26,Pakistan,Iftikhar Ahmed,3.0,0,23,7.66,9,1,1,1,0
26,Pakistan,Shaheen Shah Afridi,10.0,0,45,4.5,37,5,0,3,0
26,Pakistan,Mohammad Nawaz,6.2,0,40,6.31,15,4,1,0,0
26,Pakistan,Haris Rauf,10.0,0,62,6.2,29,3,3,2,0
26,Pakistan,Mohammad Wasim,10.0,1,50,5.0,37,7,0,3,0
26,Pakistan,Usama Mir,8.0,0,45,5.62,25,1,3,1,0
27,New Zealand,Matt Henry,6.2,0,67,10.57,21,8,4,2,2
27,New Zealand,Trent Boult,10.0,0,77,7.7,25,7,3,3,0
27,New Zealand,Lockie Ferguson,3.0,0,38,12.66,6,3,3,0,0
27,New Zealand,Mitchell Santner,10.0,0,80,8.0,23,6,4,1,0
27,New Zealand,Glenn Phillips,10.0,0,37,3.7,30,2,0,0,0
27,New Zealand,Rachin Ravindra,8.0,0,56,7.0,18,5,2,0,0
27,New Zealand,James Neesham,2.0,0,32,16.0,4,1,4,0,0
27,Australia,Mitchell Starc,9.0,0,89,9.88,21,6,3,9,0
27,Australia,Josh Hazlewood,9.0,0,70,7.77,24,9,2,1,0
27,Australia,Pat Cummins,10.0,0,66,6.6,26,7,1,3,0
27,Australia,Glenn Maxwell,10.0,0,62,6.2,22,4,2,0,0
27,Australia,Adam Zampa,10.0,0,74,7.4,22,6,3,0,0
27,Australia,Mitchell Marsh,2.0,0,18,9.0,3,1,1,1,0
28,Bangladesh,Shoriful Islam,10.0,0,51,5.1,38,5,1,3,0
28,Bangladesh,Taskin Ahmed,9.0,1,43,4.77,32,6,0,1,0
28,Bangladesh,Shakib Al Hasan,10.0,1,37,3.7,35,4,0,0,0
28,Bangladesh,Mehidy Hasan Miraz,4.0,0,17,4.25,10,1,0,0,0
28,Bangladesh,Mustafizur Rahman,10.0,1,36,3.6,36,3,0,1,0
28,Bangladesh,Mahedi Hasan,7.0,0,40,5.71,23,3,1,1,0
28,Netherlands,Aryan Dutt,10.0,3,26,2.6,48,3,1,0,0
28,Netherlands,Logan van Beek,9.0,1,30,3.33,39,3,0,4,0
28,Netherlands,Colin Ackermann,7.0,1,25,3.57,29,2,1,0,0
28,Netherlands,Paul van Meekeren,7.2,0,23,3.13,30,2,0,2,0
28,Netherlands,Bas de Leede,7.0,0,25,3.57,30,4,0,0,0
28,Netherlands,Shariz Ahmad,2.0,0,13,6.5,5,2,0,0,0
29,England,David Willey,10.0,2,45,4.5,39,4,2,0,0
29,England,Chris Woakes,9.0,1,33,3.66,36,3,0,1,0
29,England,Adil Rashid,10.0,0,35,3.5,35,3,0,0,0
29,England,Mark Wood,9.0,1,46,5.11,32,3,2,2,0
29,England,Liam Livingstone,4.0,1,29,7.25,13,5,0,0,0
29,England,Moeen Ali,8.0,0,37,4.62,19,2,0,0,0
29,India,Jasprit Bumrah,6.5,1,32,4.68,31,3,2,2,0
29,India,Mohammed Siraj,6.0,0,33,5.5,22,3,1,2,0
29,India,Mohammed Shami,7.0,2,22,3.14,33,3,0,2,0
29,India,Kuldeep Yadav,8.0,0,24,3.0,28,1,0,0,0
29,India,Ravindra Jadeja,7.0,1,16,2.28,27,0,0,0,0
30,Afghanistan,Mujeeb Ur Rahman,10.0,0,38,3.8,29,2,0,0,0
30,Afghanistan,Fazalhaq Farooqi,10.0,1,34,3.4,42,3,1,0,0
30,Afghanistan,Naveen-ul-Haq,6.3,0,47,7.23,16,5,1,2,0
30,Afghanistan,Azmatullah Omarzai,7.0,0,37,5.28,22,5,0,1,0
