Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
19,Sri Lanka,Kasun Rajitha,9.0,0.0,50.0,5.55,32.0,5.0,0.0,6.0,0.0
19,Sri Lanka,Chamika Karunaratne,9.0,1.0,58.0,6.44,25.0,1.0,2.0,6.0,0.0
19,Sri Lanka,Maheesh Theekshana,10.0,0.0,44.0,4.4,28.0,0.0,0.0,2.0,0.0
19,Sri Lanka,Dushan Hemantha,8.0,0.0,42.0,5.25,23.0,3.0,1.0,0.0,0.0
19,Sri Lanka,Dhananjaya de Silva,4.0,0.0,13.0,3.25,16.0,0.0,0.0,3.0,0.0
19,Netherlands,Aryan Dutt,10.0,0.0,44.0,4.4,38.0,3.0,1.0,2.0,0.0
19,Netherlands,Logan van Beek,10.0,0.0,57.0,5.7,36.0,6.0,2.0,0.0,0.0
19,Netherlands,Paul van Meekeren,8.0,1.0,39.0,4.87,29.0,4.0,0.0,2.0,0.0
19,Netherlands,Bas de Leede,3.0,0.0,29.0,9.66,7.0,4.0,0.0,2.0,0.0
19,Netherlands,Roelof van der Merwe,9.0,0.0,42.0,4.66,25.0,3.0,0.0,1.0,0.0
19,Netherlands,Colin Ackermann,8.2,0.0,39.0,4.68,25.0,3.0,0.0,0.0,0.0
20,England,Reece Topley,8.5,0.0,88.0,9.96,23.0,10.0,4.0,4.0,0.0
20,England,David Willey,9.0,1.0,61.0,6.77,27.0,6.0,2.0,3.0,1.0
20,England,Joe Root,6.1,0.0,48.0,7.78,6.0,2.0,2.0,0.0,0.0
20,England,Gus Atkinson,9.0,0.0,60.0,6.66,27.0,6.0,2.0,1.0,0.0
20,England,Mark Wood,7.0,0.0,76.0,10.85,9.0,10.0,2.0,1.0,0.0
20,England,Adil Rashid,10.0,0.0,61.0,6.1,20.0,4.0,1.0,0.0,0.0
20,South Africa,Lungi Ngidi,5.0,1.0,26.0,5.2,23.0,2.0,2.0,3.0,0.0
20,South Africa,Marco Jansen,5.0,0.0,35.0,7.0,19.0,4.0,2.0,1.0,0.0
20,South Africa,Kagiso Rabada,6.0,1.0,38.0,6.33,24.0,6.0,1.0,0.0,1.0
20,South Africa,Gerald Coetzee,4.0,0.0,35.0,8.75,13.0,5.0,1.0,1.0,0.0
20,South Africa,Keshav Maharaj,2.0,0.0,27.0,13.5,4.0,1.0,3.0,0.0,0.0
21,India,Jasprit Bumrah,10.0,1.0,45.0,4.5,34.0,5.0,0.0,0.0,0.0
21,India,Mohammed Siraj,10.0,1.0,45.0,4.5,34.0,3.0,1.0,4.0,0.0
21,India,Mohammed Shami,10.0,0.0,54.0,5.4,32.0,6.0,1.0,0.0,0.0
21,India,Ravindra Jadeja,10.0,0.0,48.0,4.8,28.0,2.0,1.0,0.0,0.0
21,India,Kuldeep Yadav,10.0,0.0,73.0,7.3,25.0,3.0,4.0,3.0,0.0
21,New Zealand,Trent Boult,10.0,0.0,60.0,6.0,33.0,6.0,2.0,1.0,0.0
21,New Zealand,Matt Henry,9.0,0.0,55.0,6.11,31.0,7.0,2.0,0.0,0.0
21,New Zealand,Mitchell Santner,10.0,0.0,37.0,3.7,32.0,1.0,1.0,0.0,0.0
21,New Zealand,Lockie Ferguson,8.0,0.0,63.0,7.87,22.0,11.0,0.0,2.0,0.0
21,New Zealand,Rachin Ravindra,9.0,0.0,46.0,5.11,28.0,3.0,2.0,1.0,0.0
21,New Zealand,Glenn Phillips,2.0,0.0,12.0,6.0,3.0,1.0,0.0,0.0,0.0
22,Afghanistan,Naveen-ul-Haq,7.0,0.0,52.0,7.42,22.0,4.0,3.0,3.0,0.0
22,Afghanistan,Mujeeb Ur Rahman,8.0,0.0,55.0,6.87,20.0,5.0,2.0,0.0,0.0
22,Afghanistan,Mohammad Nabi,10.0,0.0,31.0,3.1,37.0,2.0,0.0,0.0,0.0
22,Afghanistan,Azmatullah Omarzai,5.0,0.0,50.0,10.0,9.0,4.0,2.0,3.0,0.0
22,Afghanistan,Rashid Khan,10.0,0.0,41.0,4.1,30.0,1.0,1.0,0.0,0.0
22,Afghanistan,Noor Ahmad,10.0,0.0,49.0,4.9,27.0,1.0,1.0,4.0,1.0
